LAUNCHED,YPR1,YPR2,YPR3,VOLTAGE
9792,0.41,-0.40,0.40,4.58
9828,0.41,-0.40,0.40,4.16
9866,0.41,-0.41,0.40,3.89
9904,0.41,-0.40,0.39,3.64
9942,0.41,-0.40,0.39,3.65
9978,0.41,-0.40,0.39,3.49
10019,0.40,-0.38,0.38,3.63
10057,0.39,-0.37,0.37,3.62
10095,0.38,-0.36,0.36,4.12
10133,0.35,-0.33,0.33,5.00
10171,0.33,-0.31,0.30,5.00
10206,0.31,-0.28,0.26,4.74
10244,0.28,-0.25,0.23,5.00
10282,0.26,-0.21,0.19,5.00
10320,0.26,-0.18,0.15,5.00
10357,0.25,-0.11,0.10,4.31
10395,0.23,-0.04,0.05,4.52
10433,0.23,0.02,0.00,4.62
10471,0.23,0.07,-0.02,5.00
10506,0.23,0.15,-0.05,5.00
10545,0.23,0.22,-0.08,5.00
10583,0.24,0.30,-0.11,5.00
10621,0.24,0.34,-0.14,5.00
10657,0.21,0.38,-0.19,4.37
10698,0.19,0.39,-0.24,4.62
10737,0.14,0.39,-0.30,5.00
10775,0.08,0.37,-0.37,4.62
10813,0.02,0.34,-0.41,4.53
10850,-0.05,0.30,-0.45,5.00
10887,-0.16,0.22,-0.49,5.00
10925,-0.25,0.14,-0.50,5.00
10963,-0.35,0.05,-0.50,5.00
11001,-0.44,-0.03,-0.48,5.00
11040,-0.48,-0.06,-0.46,5.00
11076,-0.54,-0.10,-0.43,4.04
11115,-0.59,-0.13,-0.41,4.79
11153,-0.61,-0.14,-0.38,4.37
11190,-0.62,-0.15,-0.37,4.43
11227,-0.62,-0.15,-0.35,4.06
11265,-0.61,-0.14,-0.35,4.52
11304,-0.59,-0.12,-0.34,4.56
11342,-0.58,-0.11,-0.34,5.00
11383,-0.57,-0.09,-0.34,4.08
11422,-0.55,-0.08,-0.34,5.00
11460,-0.54,-0.07,-0.34,4.91
11497,-0.54,-0.07,-0.34,3.65
11534,-0.53,-0.06,-0.33,4.48
11573,-0.52,-0.06,-0.32,4.33
11611,-0.52,-0.05,-0.31,3.68
11649,-0.50,-0.04,-0.30,5.00
11686,-0.46,-0.02,-0.27,4.23
11725,-0.37,0.01,-0.22,5.00
11763,-0.26,0.05,-0.16,5.00
11802,-0.14,0.08,-0.09,5.00
11840,-0.04,0.11,-0.03,5.00
11879,0.03,0.13,0.01,5.00
11915,0.12,0.16,0.06,3.99
11953,0.21,0.18,0.11,4.98
11992,0.27,0.19,0.15,5.00
12034,0.31,0.20,0.17,4.48
12072,0.33,0.21,0.18,4.63
12111,0.37,0.22,0.20,4.81
12149,0.41,0.22,0.22,5.00
12188,0.44,0.23,0.24,4.98
12225,0.49,0.23,0.27,5.00
12264,0.54,0.23,0.30,5.00
12301,0.59,0.23,0.32,5.00
12340,0.64,0.24,0.33,5.00
12379,0.66,0.26,0.33,5.00
12418,0.66,0.27,0.32,4.40
12455,0.64,0.27,0.30,4.78
12493,0.62,0.27,0.27,3.83
12532,0.61,0.26,0.26,4.94
12571,0.60,0.25,0.25,4.89
12610,0.60,0.25,0.24,4.62
12648,0.59,0.25,0.23,4.68
12684,0.58,0.25,0.22,4.29
12723,0.56,0.24,0.20,4.23
12765,0.54,0.23,0.18,4.64
12804,0.53,0.22,0.16,5.00
12843,0.52,0.21,0.15,5.00
12882,0.51,0.21,0.14,4.97
12921,0.50,0.21,0.13,3.54
12960,0.47,0.20,0.11,4.17
12999,0.40,0.20,0.05,4.23
13037,0.33,0.18,-0.01,4.77
13075,0.24,0.13,-0.08,5.00
13113,0.16,0.09,-0.13,5.00
13152,0.09,0.04,-0.17,4.54
13190,0.03,-0.02,-0.20,4.66
13229,-0.00,-0.05,-0.21,5.00
13268,-0.02,-0.05,-0.21,4.32
13307,-0.02,-0.04,-0.21,4.10
13346,-0.03,-0.03,-0.21,4.05
13384,-0.03,-0.03,-0.21,3.97
13423,-0.03,-0.03,-0.20,3.86
13465,-0.03,-0.03,-0.20,3.79
13504,-0.01,-0.02,-0.19,3.80
13543,-0.00,-0.01,-0.18,3.86
13582,0.01,-0.01,-0.16,4.72
13621,0.02,-0.01,-0.15,4.25
13660,0.03,-0.01,-0.14,4.86
13699,0.03,-0.01,-0.13,4.19
13738,0.04,-0.01,-0.13,3.54
13777,0.04,-0.01,-0.12,3.61
13816,0.05,-0.00,-0.12,3.60
13854,0.05,0.00,-0.12,3.62
13893,0.05,0.01,-0.12,3.61
13932,0.05,0.03,-0.11,3.62
13972,0.04,0.05,-0.11,3.62
14011,0.05,0.07,-0.10,3.61
14049,0.06,0.09,-0.09,4.62
14088,0.05,0.11,-0.09,4.45
14127,0.05,0.12,-0.08,4.61
14170,0.04,0.12,-0.08,3.97
14209,0.02,0.11,-0.07,3.66
14249,0.02,0.09,-0.06,4.19
14288,0.02,0.06,-0.05,4.15
14327,0.02,0.05,-0.06,4.41
14366,0.01,0.05,-0.08,3.91
14406,0.00,0.05,-0.09,4.48
14444,-0.01,0.07,-0.11,3.84
14483,-0.01,0.09,-0.12,5.00
14521,-0.01,0.09,-0.12,4.70
14561,-0.02,0.09,-0.14,5.00
14600,-0.03,0.09,-0.16,4.85
14640,-0.02,0.09,-0.17,3.90
14679,-0.02,0.11,-0.20,3.60
14719,-0.03,0.13,-0.24,4.38
14758,-0.01,0.14,-0.26,4.10
14798,0.00,0.18,-0.28,4.37
14837,-0.00,0.19,-0.30,4.58
14880,0.01,0.19,-0.32,4.10
14919,0.00,0.19,-0.34,4.48
14959,-0.01,0.16,-0.35,4.53
14998,-0.02,0.15,-0.35,4.02
15038,-0.01,0.16,-0.35,3.84
15078,-0.01,0.17,-0.35,3.74
15116,-0.02,0.16,-0.36,3.75
15156,-0.02,0.16,-0.36,3.51
15195,-0.02,0.15,-0.37,3.62
15235,-0.03,0.14,-0.37,3.61
15274,-0.04,0.14,-0.37,3.62
15312,-0.04,0.13,-0.38,3.61
15352,-0.04,0.13,-0.38,3.62
15392,-0.05,0.13,-0.38,3.62
15431,-0.05,0.13,-0.39,3.62
15471,-0.05,0.13,-0.39,3.62
15511,-0.06,0.13,-0.40,3.62
15550,-0.06,0.12,-0.40,3.62
15593,-0.06,0.12,-0.40,3.62
15633,-0.06,0.12,-0.40,3.62
